Gtk.STOCK_ADD,<class 'str'>,gtk-add
Gtk.STOCK_APPLY,<class 'str'>,gtk-apply
Gtk.STOCK_BOLD,<class 'str'>,gtk-bold
Gtk.STOCK_CANCEL,<class 'str'>,gtk-cancel
Gtk.STOCK_CAPS_LOCK_WARNING,<class 'str'>,gtk-caps-lock-warning
Gtk.STOCK_CDROM,<class 'str'>,gtk-cdrom
Gtk.STOCK_CLEAR,<class 'str'>,gtk-clear
Gtk.STOCK_CLOSE,<class 'str'>,gtk-close
Gtk.STOCK_COLOR_PICKER,<class 'str'>,gtk-color-picker
Gtk.STOCK_CONNECT,<class 'str'>,gtk-connect
Gtk.STOCK_CONVERT,<class 'str'>,gtk-convert
Gtk.STOCK_COPY,<class 'str'>,gtk-copy
Gtk.STOCK_CUT,<class 'str'>,gtk-cut
Gtk.STOCK_DELETE,<class 'str'>,gtk-delete
Gtk.STOCK_DIALOG_AUTHENTICATION,<class 'str'>,gtk-dialog-authentication
Gtk.STOCK_DIALOG_ERROR,<class 'str'>,gtk-dialog-error
Gtk.STOCK_DIALOG_INFO,<class 'str'>,gtk-dialog-info
Gtk.STOCK_DIALOG_QUESTION,<class 'str'>,gtk-dialog-question
Gtk.STOCK_DIALOG_WARNING,<class 'str'>,gtk-dialog-warning
Gtk.STOCK_DIRECTORY,<class 'str'>,gtk-directory
Gtk.STOCK_DISCARD,<class 'str'>,gtk-discard
Gtk.STOCK_DISCONNECT,<class 'str'>,gtk-disconnect
Gtk.STOCK_DND,<class 'str'>,gtk-dnd
Gtk.STOCK_DND_MULTIPLE,<class 'str'>,gtk-dnd-multiple
Gtk.STOCK_EDIT,<class 'str'>,gtk-edit
Gtk.STOCK_EXECUTE,<class 'str'>,gtk-execute
Gtk.STOCK_FILE,<class 'str'>,gtk-file
Gtk.STOCK_FIND,<class 'str'>,gtk-find
Gtk.STOCK_FIND_AND_REPLACE,<class 'str'>,gtk-find-and-replace
Gtk.STOCK_FLOPPY,<class 'str'>,gtk-floppy
Gtk.STOCK_FULLSCREEN,<class 'str'>,gtk-fullscreen
Gtk.STOCK_GOTO_BOTTOM,<class 'str'>,gtk-goto-bottom
Gtk.STOCK_GOTO_FIRST,<class 'str'>,gtk-goto-first
Gtk.STOCK_GOTO_LAST,<class 'str'>,gtk-goto-last
Gtk.STOCK_GOTO_TOP,<class 'str'>,gtk-goto-top
Gtk.STOCK_GO_BACK,<class 'str'>,gtk-go-back
Gtk.STOCK_GO_DOWN,<class 'str'>,gtk-go-down
Gtk.STOCK_GO_FORWARD,<class 'str'>,gtk-go-forward
Gtk.STOCK_GO_UP,<class 'str'>,gtk-go-up
Gtk.STOCK_HARDDISK,<class 'str'>,gtk-harddisk
Gtk.STOCK_HELP,<class 'str'>,gtk-help
Gtk.STOCK_HOME,<class 'str'>,gtk-home
Gtk.STOCK_INDENT,<class 'str'>,gtk-indent
Gtk.STOCK_INDEX,<class 'str'>,gtk-index
Gtk.STOCK_INFO,<class 'str'>,gtk-info
Gtk.STOCK_ITALIC,<class 'str'>,gtk-italic
Gtk.STOCK_JUMP_TO,<class 'str'>,gtk-jump-to
Gtk.STOCK_JUSTIFY_CENTER,<class 'str'>,gtk-justify-center
Gtk.STOCK_JUSTIFY_FILL,<class 'str'>,gtk-justify-fill
Gtk.STOCK_JUSTIFY_LEFT,<class 'str'>,gtk-justify-left
Gtk.STOCK_JUSTIFY_RIGHT,<class 'str'>,gtk-justify-right
Gtk.STOCK_LEAVE_FULLSCREEN,<class 'str'>,gtk-leave-fullscreen
Gtk.STOCK_MEDIA_FORWARD,<class 'str'>,gtk-media-forward
Gtk.STOCK_MEDIA_NEXT,<class 'str'>,gtk-media-next
Gtk.STOCK_MEDIA_PAUSE,<class 'str'>,gtk-media-pause
Gtk.STOCK_MEDIA_PLAY,<class 'str'>,gtk-media-play
Gtk.STOCK_MEDIA_PREVIOUS,<class 'str'>,gtk-media-previous
Gtk.STOCK_MEDIA_RECORD,<class 'str'>,gtk-media-record
Gtk.STOCK_MEDIA_REWIND,<class 'str'>,gtk-media-rewind
Gtk.STOCK_MEDIA_STOP,<class 'str'>,gtk-media-stop
Gtk.STOCK_MISSING_IMAGE,<class 'str'>,gtk-missing-image
Gtk.STOCK_NETWORK,<class 'str'>,gtk-network
Gtk.STOCK_NEW,<class 'str'>,gtk-new
Gtk.STOCK_NO,<class 'str'>,gtk-no
Gtk.STOCK_OK,<class 'str'>,gtk-ok
Gtk.STOCK_OPEN,<class 'str'>,gtk-open
Gtk.STOCK_ORIENTATION_LANDSCAPE,<class 'str'>,gtk-orientation-landscape
Gtk.STOCK_ORIENTATION_PORTRAIT,<class 'str'>,gtk-orientation-portrait
Gtk.STOCK_ORIENTATION_REVERSE_LANDSCAPE,<class 'str'>,gtk-orientation-reverse-landscape
Gtk.STOCK_ORIENTATION_REVERSE_PORTRAIT,<class 'str'>,gtk-orientation-reverse-portrait
Gtk.STOCK_PAGE_SETUP,<class 'str'>,gtk-page-setup
Gtk.STOCK_PASTE,<class 'str'>,gtk-paste
Gtk.STOCK_PREFERENCES,<class 'str'>,gtk-preferences
Gtk.STOCK_PRINT,<class 'str'>,gtk-print
Gtk.STOCK_PRINT_ERROR,<class 'str'>,gtk-print-error
Gtk.STOCK_PRINT_PAUSED,<class 'str'>,gtk-print-paused
Gtk.STOCK_PRINT_PREVIEW,<class 'str'>,gtk-print-preview
Gtk.STOCK_PRINT_REPORT,<class 'str'>,gtk-print-report
Gtk.STOCK_PRINT_WARNING,<class 'str'>,gtk-print-warning
Gtk.STOCK_PROPERTIES,<class 'str'>,gtk-properties
Gtk.STOCK_QUIT,<class 'str'>,gtk-quit
Gtk.STOCK_REDO,<class 'str'>,gtk-redo
Gtk.STOCK_REFRESH,<class 'str'>,gtk-refresh
Gtk.STOCK_REMOVE,<class 'str'>,gtk-remove
Gtk.STOCK_REVERT_TO_SAVED,<class 'str'>,gtk-revert-to-saved
Gtk.STOCK_SAVE,<class 'str'>,gtk-save
Gtk.STOCK_SAVE_AS,<class 'str'>,gtk-save-as
Gtk.STOCK_SELECT_ALL,<class 'str'>,gtk-select-all
Gtk.STOCK_SELECT_COLOR,<class 'str'>,gtk-select-color
Gtk.STOCK_SELECT_FONT,<class 'str'>,gtk-select-font
Gtk.STOCK_SORT_ASCENDING,<class 'str'>,gtk-sort-ascending
Gtk.STOCK_SORT_DESCENDING,<class 'str'>,gtk-sort-descending
Gtk.STOCK_SPELL_CHECK,<class 'str'>,gtk-spell-check
Gtk.STOCK_STOP,<class 'str'>,gtk-stop
Gtk.STOCK_STRIKETHROUGH,<class 'str'>,gtk-strikethrough
Gtk.STOCK_UNDELETE,<class 'str'>,gtk-undelete
Gtk.STOCK_UNDERLINE,<class 'str'>,gtk-underline
Gtk.STOCK_UNDO,<class 'str'>,gtk-undo
Gtk.STOCK_UNINDENT,<class 'str'>,gtk-unindent
Gtk.STOCK_YES,<class 'str'>,gtk-yes
Gtk.STOCK_ZOOM_100,<class 'str'>,gtk-zoom-100
Gtk.STOCK_ZOOM_FIT,<class 'str'>,gtk-zoom-fit
Gtk.STOCK_ZOOM_IN,<class 'str'>,gtk-zoom-in
Gtk.STOCK_ZOOM_OUT,<class 'str'>,gtk-zoom-out
Gtk.STYLE_CLASS_ACCELERATOR,<class 'str'>,accelerator
Gtk.STYLE_CLASS_ARROW,<class 'str'>,arrow
Gtk.STYLE_CLASS_BACKGROUND,<class 'str'>,background
Gtk.STYLE_CLASS_BOTTOM,<class 'str'>,bottom
Gtk.STYLE_CLASS_BUTTON,<class 'str'>,button
Gtk.STYLE_CLASS_CALENDAR,<class 'str'>,calendar
Gtk.STYLE_CLASS_CELL,<class 'str'>,cell
Gtk.STYLE_CLASS_CHECK,<class 'str'>,check
Gtk.STYLE_CLASS_COMBOBOX_ENTRY,<class 'str'>,combobox-entry
Gtk.STYLE_CLASS_CONTEXT_MENU,<class 'str'>,context-menu
